======================================================================
🚀 Segmented Full Backtest - seg_full_backtest_20260220_001030
======================================================================
📈 symbols=21
📊 strategies=64
🗓️  range=2025-01-01~2026-02-18

------------------------------------------------------------
▶️  segment timeframe=5m (existing=195/1344)
🔄 tasks=1344 (expected=1344)
[batch seg_full_backtest_20260220_001030] progress: 50/1344 (completed=50, failed=0, pending=1294) elapsed=812.8s ETA=21035.3s
[batch seg_full_backtest_20260220_001030] progress: 100/1344 (completed=100, failed=0, pending=1244) elapsed=1578.6s ETA=19637.4s
[batch seg_full_backtest_20260220_001030] progress: 150/1344 (completed=150, failed=0, pending=1194) elapsed=2230.8s ETA=17757.1s
[batch seg_full_backtest_20260220_001030] progress: 200/1344 (completed=200, failed=0, pending=1144) elapsed=2892.7s ETA=16546.2s
[batch seg_full_backtest_20260220_001030] progress: 250/1344 (completed=250, failed=0, pending=1094) elapsed=3509.1s ETA=15355.7s
[batch seg_full_backtest_20260220_001030] progress: 300/1344 (completed=300, failed=0, pending=1044) elapsed=4130.3s ETA=14373.3s
[batch seg_full_backtest_20260220_001030] progress: 350/1344 (completed=350, failed=0, pending=994) elapsed=4752.0s ETA=13495.6s
[batch seg_full_backtest_20260220_001030] progress: 400/1344 (completed=400, failed=0, pending=944) elapsed=5411.8s ETA=12771.9s
[batch seg_full_backtest_20260220_001030] progress: 450/1344 (completed=450, failed=0, pending=894) elapsed=6055.1s ETA=12029.5s
[batch seg_full_backtest_20260220_001030] progress: 500/1344 (completed=500, failed=0, pending=844) elapsed=6677.1s ETA=11270.9s
[batch seg_full_backtest_20260220_001030] progress: 550/1344 (completed=550, failed=0, pending=794) elapsed=7295.3s ETA=10531.8s
[batch seg_full_backtest_20260220_001030] progress: 600/1344 (completed=600, failed=0, pending=744) elapsed=7956.7s ETA=9866.4s
[batch seg_full_backtest_20260220_001030] progress: 650/1344 (completed=650, failed=0, pending=694) elapsed=8571.0s ETA=9151.2s
[batch seg_full_backtest_20260220_001030] progress: 700/1344 (completed=700, failed=0, pending=644) elapsed=9239.5s ETA=8500.4s
[batch seg_full_backtest_20260220_001030] progress: 750/1344 (completed=750, failed=0, pending=594) elapsed=9907.4s ETA=7846.7s
[batch seg_full_backtest_20260220_001030] progress: 800/1344 (completed=800, failed=0, pending=544) elapsed=10520.1s ETA=7153.6s
[batch seg_full_backtest_20260220_001030] progress: 850/1344 (completed=850, failed=0, pending=494) elapsed=11187.3s ETA=6501.8s
[batch seg_full_backtest_20260220_001030] progress: 900/1344 (completed=900, failed=0, pending=444) elapsed=11809.3s ETA=5825.9s
[batch seg_full_backtest_20260220_001030] progress: 950/1344 (completed=950, failed=0, pending=394) elapsed=12407.1s ETA=5145.7s
[batch seg_full_backtest_20260220_001030] progress: 1000/1344 (completed=1000, failed=0, pending=344) elapsed=13021.9s ETA=4479.5s
[batch seg_full_backtest_20260220_001030] progress: 1050/1344 (completed=1050, failed=0, pending=294) elapsed=13670.1s ETA=3827.6s
[batch seg_full_backtest_20260220_001030] progress: 1100/1344 (completed=1100, failed=0, pending=244) elapsed=14346.1s ETA=3182.2s
[batch seg_full_backtest_20260220_001030] progress: 1150/1344 (completed=1150, failed=0, pending=194) elapsed=14953.4s ETA=2522.6s
[batch seg_full_backtest_20260220_001030] progress: 1200/1344 (completed=1200, failed=0, pending=144) elapsed=15564.8s ETA=1867.8s
[batch seg_full_backtest_20260220_001030] progress: 1250/1344 (completed=1250, failed=0, pending=94) elapsed=16401.2s ETA=1233.4s
