id	symbol	timeframe	indicator	params	sharpe	return_pct	win_rate	trades	created_at	updated_at
225	US.AAPL	1d	ATRTrailingStop	{}	1.2491	0.1832	0.5000	4	2026-02-19 11:43:46	2026-02-19 15:20:24
241	US.AAPL	1h	VIXReversal	{}	2.1665	0.0677	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
240	US.AAPL	5m	VIXReversal	{}	2.4160	0.0037	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
227	US.ADBE	1d	ATRTrailingStop	{}	1.2769	0.1814	0.5000	2	2026-02-19 11:44:07	2026-02-19 15:20:24
244	US.ADBE	1h	RSI_Reversal_v2	{}	2.3905	0.1774	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
243	US.ADBE	5m	Overbought_Decline	{}	2.5348	0.1827	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
228	US.AMD	1d	ATRTrailingStop	{}	1.8359	0.1548	0.5000	8	2026-02-19 11:44:07	2026-02-19 15:20:24
247	US.AMD	1h	HistoricalVolatility_Range	{}	3.8008	0.1281	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
246	US.AMD	5m	WilliamsR_Momentum	{}	2.7211	0.2400	0.2500	8	2026-02-19 15:20:24	2026-02-19 15:20:24
251	US.AMZN	1d	Overbought_Decline	{}	1.0244	0.1489	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
250	US.AMZN	1h	SimpleMA_Crossover	{}	1.9385	0.1452	0.5000	6	2026-02-19 15:20:24	2026-02-19 15:20:24
249	US.AMZN	5m	VIXReversal	{}	2.0995	0.0038	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
254	US.AVGO	1d	MACD_BB_Breakout	{}	1.4035	0.2310	0.3333	6	2026-02-19 15:20:24	2026-02-19 15:20:24
253	US.AVGO	1h	HistoricalVolatility_Range	{}	3.4650	0.0902	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
252	US.AVGO	5m	SimpleMA_Crossover	{}	2.6958	0.1991	0.2500	4	2026-02-19 15:20:24	2026-02-19 15:20:24
257	US.COIN	1d	Overbought_Decline	{}	1.1656	0.1881	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
256	US.COIN	1h	Overbought_Decline	{}	1.8635	0.1818	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
255	US.COIN	5m	SimpleMA_Crossover	{}	2.6489	0.1988	0.5000	6	2026-02-19 15:20:24	2026-02-19 15:20:24
260	US.CRM	1d	RSI_Reversal_v2	{}	1.3378	0.1907	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
259	US.CRM	1h	Overbought_Decline	{}	2.5032	0.1884	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
258	US.CRM	5m	Overbought_Decline	{}	2.5477	0.1864	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
263	US.GOOG	1d	MACD_ADX_TrendRide	{}	1.7690	0.2635	0.5000	6	2026-02-19 15:20:24	2026-02-19 15:20:24
262	US.GOOG	1h	HistoricalVolatility_Range	{}	1.7761	0.1021	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
261	US.GOOG	5m	SimpleMA_Crossover	{}	2.6037	0.2130	0.2500	4	2026-02-19 15:20:24	2026-02-19 15:20:24
266	US.GOOGL	1d	Dual_Moving_Average_Crossover	{}	1.7817	0.0922	0.2500	8	2026-02-19 15:20:24	2026-02-19 15:20:24
265	US.GOOGL	1h	Keltner_Bollinger_Squeeze	{}	1.9061	0.1104	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
264	US.GOOGL	5m	SimpleMA_Crossover	{}	2.5975	0.2135	0.2500	4	2026-02-19 15:20:24	2026-02-19 15:20:24
269	US.META	1d	RSI_Volume_Confirmation	{}	1.1951	0.1786	0.4000	10	2026-02-19 15:20:24	2026-02-19 15:20:24
268	US.META	1h	SimpleMA_Crossover	{}	2.0511	0.1521	0.5000	6	2026-02-19 15:20:24	2026-02-19 15:20:24
267	US.META	5m	BollingerWidth_Expansion	{}	1.9725	0.1340	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
272	US.MSFT	1d	SimpleMA_Crossover	{}	1.0323	0.1462	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
271	US.MSFT	1h	Overbought_Decline	{}	1.8325	0.1370	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
270	US.MSFT	5m	Momentum_RateOfChange	{}	1.9609	0.1348	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
275	US.MSTR	1d	RSI_Reversal_v2	{}	1.4508	0.2151	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
274	US.MSTR	1h	RSI_Reversal_v2	{}	2.2684	0.2121	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
273	US.MSTR	5m	Trend_Pullback	{}	3.0521	0.2432	0.5000	6	2026-02-19 15:20:24	2026-02-19 15:20:24
278	US.MU	1d	Oversold_Bounce	{}	2.7617	0.4404	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
277	US.MU	1h	ADX_Ichimoku_Cloud	{}	2.3150	0.4522	0.2500	24	2026-02-19 15:20:24	2026-02-19 15:20:24
276	US.MU	5m	PriceBreakout	{}	3.0526	0.6722	0.2500	4	2026-02-19 15:20:24	2026-02-19 15:20:24
281	US.NFLX	1d	ADX_Ichimoku_Cloud	{}	1.1625	0.1720	0.3333	6	2026-02-19 15:20:24	2026-02-19 15:20:24
280	US.NFLX	1h	WilliamsR_Momentum	{}	2.8766	0.2230	0.3750	8	2026-02-19 15:20:24	2026-02-19 15:20:24
279	US.NFLX	5m	DualMomentum	{}	2.2170	0.1574	0.5000	6	2026-02-19 15:20:24	2026-02-19 15:20:24
284	US.NVDA	1d	PriceBreakout	{}	1.2132	0.0660	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
283	US.NVDA	1h	HistoricalVolatility_Range	{}	2.8008	0.0705	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
282	US.NVDA	5m	SimpleMA_Crossover	{}	2.7178	0.1962	0.5000	4	2026-02-19 15:20:24	2026-02-19 15:20:24
287	US.ORCL	1d	VolumePrice_Confirm	{}	1.7189	0.2822	0.4000	10	2026-02-19 15:20:24	2026-02-19 15:20:24
286	US.ORCL	1h	RSI_SMA_Strategy	{}	1.7959	0.1566	0.2083	24	2026-02-19 15:20:24	2026-02-19 15:20:24
285	US.ORCL	5m	Overbought_Decline	{}	1.9537	0.1364	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
290	US.QCOM	1d	RSI_Volume_Confirmation	{}	1.4273	0.2138	0.3750	8	2026-02-19 15:20:24	2026-02-19 15:20:24
289	US.QCOM	1h	RSI_Reversal_v2	{}	1.9365	0.1449	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
288	US.QCOM	5m	Overbought_Decline	{}	1.9810	0.1390	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
293	US.TSLA	1d	Volume_Trend_Divergence	{}	1.2648	0.2157	0.5000	4	2026-02-19 15:20:24	2026-02-19 15:20:24
292	US.TSLA	1h	Overbought_Decline	{}	1.7557	0.1287	0.0000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
221	US.TSLA	5m	EMA_Cross	{}	4.0059	0.1751	0.5000	2	2026-02-19 10:57:52	2026-02-19 15:20:24
296	US.TSM	1d	Momentum_ADX_Strength	{}	1.8987	0.2881	0.3750	8	2026-02-19 15:20:24	2026-02-19 15:20:24
295	US.TSM	1h	SimpleMA_Crossover	{}	3.7374	0.1545	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
294	US.TSM	5m	MACD_Zero_Cross	{}	2.7916	0.2264	0.2500	4	2026-02-19 15:20:24	2026-02-19 15:20:24
299	US.TXN	1d	RSI_SMA_Strategy	{}	1.2399	0.1842	0.5000	4	2026-02-19 15:20:24	2026-02-19 15:20:24
298	US.TXN	1h	VIXReversal	{}	2.1219	0.0673	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
297	US.TXN	5m	Momentum_Volume_Rally	{}	2.2991	0.1623	0.2500	4	2026-02-19 15:20:24	2026-02-19 15:20:24
302	US.UBER	1d	RSI_Reversal_v2	{}	1.1168	0.1637	0.3333	6	2026-02-19 15:20:24	2026-02-19 15:20:24
301	US.UBER	1h	Overbought_Decline	{}	1.4711	0.1149	0.0000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
300	US.UBER	5m	Oversold_Bounce	{}	3.2762	0.0222	0.5000	2	2026-02-19 15:20:24	2026-02-19 15:20:24
