Date,Open,High,Low,Close,Volume
2024-01-02,108.05,109.027,106.563,107.383,29141274.466069
2024-01-03,105.881,106.355,104.407,104.731,35109263.042997
2024-01-04,104.67,105.811,103.622,103.784,25934139.495884
2024-01-05,104.041,104.422,103.042,103.811,22716543.147965
2024-01-08,104.525,106.652,104.08,106.34,33466594.26344
2024-01-09,105.427,107.696,105.337,107.097,23475270.99311
2024-01-10,106.884,107.143,105.129,106.906,17833313.527526
2024-01-11,107.277,108.958,106.306,108.827,26034396.892754
2024-01-12,110.025,110.381,108.83,109.589,27171240.370472
2024-01-16,110.049,111.426,108.693,110.309,26426430.70614
2024-01-17,109.451,110.126,107.86,109.192,18511129.943904
2024-01-18,111.292,113.435,110.993,113.173,32575214.127084
2024-01-19,114.498,120.404,114.37,119.83,53648289.994197
2024-01-22,120.33,121.822,119.535,120.75,31558226.704621
2024-01-23,120.8,121.392,119.071,121.325,17134533.92523
2024-01-24,122.907,127.087,121.79,124.052,35179359.327632
2024-01-25,126.736,126.736,121.572,121.69,36747332.859395
2024-01-26,120.672,120.821,118.745,119.205,26095426.650018
2024-01-29,120.198,121.064,119.217,120.481,21758119.225598
2024-01-30,120.381,121.492,119.146,119.53,20905107.581884
2024-01-31,117.679,118.447,116.181,116.744,27695047.112882
2024-02-01,117.471,119.029,116.655,118.724,19620167.38283
2024-02-02,119.588,122.154,119.232,121.131,26976497.022808
2024-02-05,121.39,123.447,120.914,122.986,22281744.031004
2024-02-06,125.012,125.857,119.904,120.964,25626938.864465
2024-02-07,122.086,124.61,121.364,124.368,26045040.207494
2024-02-08,125.352,128.217,125.154,126.118,29641823.594789
2024-02-09,123.87,127.207,123.569,126.977,26575831.309339
2024-02-12,127.627,127.633,124.559,125.153,25044861.742687
2024-02-13,122.197,124.249,121.403,123.833,32249870.333312
2024-02-14,125.573,125.945,122.81,124.878,27600106.319577
2024-02-15,126.632,126.637,123.16,125.16,22108823.01622
2024-02-16,124.563,126.21,122.916,123.222,21496918.333382
2024-02-20,122.27,122.454,119.965,121.349,26612521.938498
2024-02-21,120.503,121.497,118.984,121.438,20861937.973856
2024-02-22,126.806,129.702,126.289,129.101,41258521.521675
2024-02-23,129.444,130.557,127.51,128.256,23363379.735589
2024-02-26,129.605,130.475,128.76,129.519,16457697.947151
2024-02-27,129.519,129.797,127.847,128.242,12256540.047465
2024-02-28,127.923,128.469,126.932,127.569,11085199.292248
2024-02-29,128.943,129.447,127.357,128.665,27831954.708466
2024-03-01,131.182,139.277,130.594,138.428,44966458.310862
2024-03-04,138.821,142.286,137.044,138.733,35229250.4972
2024-03-05,138.014,138.014,131.818,132.846,36427578.574692
2024-03-06,137.676,137.997,133.272,133.564,43660726.755284
2024-03-07,136.727,139.925,135.827,139.203,63507911.088783
2024-03-08,137.941,139.796,128.772,129.479,74821431.213563
2024-03-11,126.432,128.519,123.922,127.935,31439846.360622
2024-03-12,129.309,129.386,124.587,127.813,43249589.556468
2024-03-13,126.923,126.923,123.901,124.449,38245664.949034
2024-03-14,124.91,125.958,123.443,124.883,38438619.249491
2024-03-15,124.011,125.389,121.697,122.235,89778340.92152
2024-03-18,124.063,124.943,121.859,122.406,26014121.024409
2024-03-19,120.399,122.706,119.12,122.483,24754419.530867
2024-03-20,123.105,127.97,121.87,126.779,41211259.001421
2024-03-21,131.978,139.458,130.753,133.932,72936945.71149
2024-03-22,134.132,136.736,133.749,134.477,38873942.649896
2024-03-25,133.637,134.97,132.887,134.288,21374103.222174
2024-03-26,135.591,137.106,132.195,132.293,23674481.947702
2024-03-27,134.132,134.132,128.768,131.025,25748293.125865
2024-03-28,130.942,132.153,130.309,131.688,19984080.973882
2024-04-01,131.715,135.422,131.688,134.158,17363663.384196
2024-04-02,130.733,133.373,129.503,133.015,24853446.425649
2024-04-03,131.946,136.796,131.675,135.445,28835926.39305
2024-04-04,137.641,139.495,130.654,130.902,27188558.597312
2024-04-05,131.747,135.247,130.575,133.081,19564139.418811
2024-04-08,132.507,133.386,130.729,132.75,17250143.088931
2024-04-09,134.863,135.074,130.022,132.55,18124538.220747
2024-04-10,131.449,132.715,130.702,131.386,17579612.622179
2024-04-11,132.41,138.291,131.513,137.356,31918648.063098
2024-04-12,134.331,135.771,132.802,133.543,28003471.0671
2024-04-15,136.118,136.118,129.76,130.226,24528244.34565
2024-04-16,130.692,132.772,130.257,132.051,19045261.388657
2024-04-17,133.447,133.834,127.317,127.438,24877843.375354
2024-04-18,127.971,128.434,124.739,125.089,25049175.584442
2024-04-19,125.089,125.189,118.986,119.626,45064135.205888
2024-04-22,121.662,122.527,119.282,121.658,25325100.657117
2024-04-23,122.027,124.981,122.012,124.116,22167738.814208
2024-04-24,125.577,127.735,123.695,124.873,20238125.283908
2024-04-25,126.426,129.962,124.891,128.609,30606567.225086
2024-04-26,130.157,134.711,129.475,133.543,24255872.1291
2024-04-29,133.544,134.428,131.717,133.001,13458369.970957
2024-04-30,132.033,133.967,129.069,129.19,22256540.087825
2024-05-01,127.01,128.406,123.336,123.487,31158276.463958
2024-05-02,124.819,125.632,121.544,123.06,29670555.704617
2024-05-03,125.09,127.562,123.911,126.988,25058757.224755
2024-05-06,127.795,130.234,126.686,130.188,16392535.957159
2024-05-07,130.797,131.051,128.841,129.473,12493200.874871
2024-05-08,128.518,132.93,128.02,131.684,14007754.25299
2024-05-09,130.935,131.311,129.363,129.727,12248345.679977
2024-05-10,130.685,133.536,130.685,132.422,16405066.568703
2024-05-13,133.932,134.965,132.155,132.891,18626859.740066
2024-05-14,132.377,137.31,131.727,137.115,19546032.936748
2024-05-15,137.112,142.97,136.116,142.693,32969478.231354
2024-05-16,141.683,143.61,139.602,140.305,28578882.788051
2024-05-17,140.333,141.04,137.289,138.631,18291341.293132
2024-05-20,138.702,140.783,138.42,140.493,27345870.612118
2024-05-21,138.968,140.032,138.45,139.02,15431785.285545
2024-05-22,138.703,139.596,137.532,138.328,21138105.005721
2024-05-23,141.924,141.981,136.914,138.433,31239961.960578
