,Date,Open,High,Low,Close,Volume
0,2018-12-31,22.4955,24.1623,22.4955,24.1623,11769005.176033
1,2019-01-02,23.8449,24.2754,22.7727,23.2965,12355639.718666
2,2019-01-03,23.0193,23.2365,22.1397,22.3127,13961284.292946
3,2019-01-04,22.5751,23.2179,22.179,22.753,18014944.662106
4,2019-01-07,22.7078,23.4253,22.5112,22.9014,9963105.7793447
5,2019-01-08,23.3063,23.6425,22.9358,23.1726,14737365.847876
6,2019-01-09,23.272,23.4301,23.1284,23.2081,6673591.7728149
7,2019-01-10,23.2081,23.4301,22.1996,22.3421,7207907.8454694
8,2019-01-11,22.2243,22.6046,21.952,21.9864,5460935.5354677
9,2019-01-14,21.7889,21.8773,21.1402,21.1609,7414484.351574
10,2019-01-15,21.2837,21.6061,21.0026,21.2641,5722224.6724613
11,2019-01-16,21.1609,21.3653,20.7756,21.0724,4971153.0942339
12,2019-01-17,21.1156,21.6159,21.0469,21.611,7164907.5759238
13,2019-01-18,21.6454,21.6502,21.3142,21.4321,6586550.3384364
14,2019-01-22,21.6945,22.0758,21.4124,21.7839,6413561.2746001
15,2019-01-23,22.3373,22.6881,21.9608,22.0611,6374608.5920083
16,2019-01-24,22.2046,22.3176,21.8576,22.2291,7184444.4580503
17,2019-01-25,22.3628,22.7432,22.3579,22.6979,5295609.2110353
18,2019-01-28,22.693,23.4272,22.5545,23.1884,12036923.279594
19,2019-01-29,23.2866,23.4006,22.9899,23.1628,7197813.2979158
20,2019-01-30,23.4105,23.7319,23.3161,23.7319,8053399.7169463
21,2019-01-31,23.6473,24.4738,23.5884,24.0238,7566769.4688705
22,2019-02-01,24.2154,24.5967,23.9785,24.5476,3673497.530858
23,2019-02-04,24.7255,25.6149,24.7255,25.1314,6452868.0447384
24,2019-02-05,25.3476,25.5117,25.037,25.2493,5571671.328165
25,2019-02-06,25.2896,25.665,25.1363,25.1845,5736591.6729104
26,2019-02-07,25.0174,25.1206,24.6125,24.9377,3605249.1912596
27,2019-02-08,24.7451,25.5068,24.5476,25.4576,3628238.4269642
28,2019-02-11,25.6444,25.7447,25.2395,25.7191,5501613.8861021
29,2019-02-12,25.9167,26.5938,25.8135,26.5004,6834607.9971126
30,2019-02-13,26.6488,27.0056,26.3913,26.6734,3592323.9783201
31,2019-02-14,26.5398,26.9899,26.4601,26.8857,5257033.0008348
32,2019-02-15,27.0892,27.6326,26.6979,27.1924,4643539.6968098
33,2019-02-19,27.2375,27.4292,26.9702,27.212,2543487.1583468
34,2019-02-20,27.326,27.5874,27.0095,27.4597,2795427.5701189
35,2019-02-21,27.4695,27.726,27.3309,27.4597,3930552.8796881
36,2019-02-22,27.6022,27.7761,27.4645,27.7761,3736334.8429501
37,2019-02-25,27.9147,28.1368,27.841,28.0031,4728075.0460533
38,2019-02-26,27.836,28.2361,27.499,28.0474,4735514.9545012
39,2019-02-27,27.954,28.0827,27.7811,27.8105,3419795.83879
40,2019-02-28,27.7859,27.9334,27.2768,27.5972,8357735.9281611
41,2019-03-01,28.5181,29.1648,27.7811,28.0081,7109135.7348742
42,2019-03-04,28.2165,28.2508,26.9456,27.3604,6024197.2475541
43,2019-03-05,27.3162,27.608,26.925,27.2523,5641208.8313306
44,2019-03-06,27.1039,27.1039,26.1299,26.5653,5087451.520887
45,2019-03-07,26.5102,26.9005,26.1152,26.2685,3744097.2966631
46,2019-03-08,25.9962,26.0994,25.5019,25.8832,3871773.3294792
47,2019-03-11,25.9068,26.8119,25.838,26.7717,3605682.6432561
48,2019-03-12,26.8169,27.4154,26.7874,27.0439,5019060.7322756
49,2019-03-13,27.267,27.4695,27.0734,27.1678,4186644.6626948
50,2019-03-14,27.6877,28.6764,27.5344,28.2704,7825398.8792938
51,2019-03-15,28.641,29.7988,28.6262,29.7781,11521410.476648
52,2019-03-18,29.8371,30.238,29.5353,29.9068,5388839.0375337
53,2019-03-19,30.1594,30.2479,29.8223,29.8823,4081821.5215279
54,2019-03-20,29.8518,30.0405,29.2935,29.4813,5260089.5496557
55,2019-03-21,29.4125,30.127,29.3682,30.016,3339046.5808122
56,2019-03-22,29.6149,30.243,29.4223,29.442,3045028.7655998
57,2019-03-25,29.4174,29.4174,28.241,28.3245,3803169.8848414
58,2019-03-26,28.6361,29.1599,28.3678,29.1157,3616992.0773916
59,2019-03-27,29.1747,29.61,28.3943,28.4483,3719957.2764324
60,2019-03-28,28.409,28.6213,28.0139,28.1417,3488827.6479596
61,2019-03-29,28.2901,29.0665,28.2557,29.0164,3841623.9958879
62,2019-04-01,29.555,29.8823,29.4273,29.8774,3612559.8781029
63,2019-04-02,29.7683,30.3127,29.5353,30.2921,4764492.1362145
64,2019-04-03,30.2871,30.4808,29.9855,30.4504,4247995.4175875
65,2019-04-04,30.4159,30.4504,29.2788,29.8321,4368896.9823448
66,2019-04-05,29.8823,30.8464,29.8823,30.752,4459054.9976282
67,2019-04-08,30.7324,30.9791,30.3865,30.8956,2703781.9801431
68,2019-04-09,30.7963,30.8513,30.3127,30.5191,2594396.40059
69,2019-04-10,30.5447,31.4597,30.5241,31.2916,3394261.8532184
70,2019-04-11,31.3801,31.5776,31.0292,31.5727,3939762.2083754
71,2019-04-12,31.6622,31.9285,31.2326,31.3997,2438333.3319713
72,2019-04-15,31.445,31.6258,31.1825,31.5825,2348633.1885153
73,2019-04-16,31.8203,31.8646,30.9898,31.0439,2276868.3932829
74,2019-04-17,31.2022,31.3938,30.9054,31.0243,2090917.4867609
75,2019-04-18,31.0194,31.1432,30.6145,31.0744,2118839.5282855
76,2019-04-22,31.0391,31.2709,30.9123,31.2709,2185957.4332168
77,2019-04-23,31.2563,32.2547,31.1924,32.1369,3115849.3273749
78,2019-04-24,32.127,32.8533,32.0179,32.755,3134804.2035341
79,2019-04-25,32.7304,33.2287,32.4435,33.1255,3270982.4074376
80,2019-04-26,32.6607,32.9526,32.0277,32.3147,3094047.5059426
81,2019-04-29,32.3344,32.5221,32.1467,32.408,2510714.7279312
82,2019-04-30,32.4583,33.3722,32.4583,33.3279,2445772.2229263
83,2019-05-01,33.5707,34.2125,33.3279,33.9059,4228228.5820545
84,2019-05-02,33.8371,34.0897,32.8484,33.6887,3973510.4145297
85,2019-05-03,33.9805,34.2616,33.7427,33.9659,1906914.0617445
86,2019-05-06,33.2445,33.8725,33.1708,33.7142,1364755.1534341
87,2019-05-07,33.3978,33.7575,32.7402,33.3673,2870744.4332386
88,2019-05-08,33.1452,33.274,32.8837,33.1756,2073356.5759427
89,2019-05-09,32.6557,33.269,32.4583,33.1708,2805203.6423793
90,2019-05-10,33.0115,33.3191,32.408,33.2041,1447542.4497901
91,2019-05-13,32.2705,32.5821,31.4941,31.6622,5311543.150627
92,2019-05-14,31.7712,32.9919,31.6917,32.7049,2007646.8812538
93,2019-05-15,32.4631,33.7525,32.3835,33.5707,2103699.2331945
94,2019-05-16,33.6445,34.7226,33.5727,34.5093,2093158.006236
95,2019-05-17,34.1093,34.8818,33.8725,34.3265,3012223.7754098
96,2019-05-20,33.9108,34.0945,33.1658,33.6199,2717204.747135
97,2019-05-21,34.0749,34.6832,33.8272,34.4356,2380425.7732203
98,2019-05-22,34.7363,34.8012,33.9482,34.1142,3170066.4391975
99,2019-05-23,33.4429,33.4429,31.9147,32.4818,6358559.6757133
100,2019-05-24,32.641,33.2189,32.2852,32.6901,3829678.6286588
101,2019-05-28,32.7206,33.556,32.6302,32.8336,3619637.5590607
102,2019-05-29,32.5221,32.7412,31.9884,32.7304,4879312.1456118
103,2019-05-30,32.8887,33.2788,32.3934,32.8336,4216478.5734717
104,2019-05-31,29.9904,30.7324,28.2361,29.442,16012990.653906
105,2019-06-03,29.3682,29.4321,27.4164,27.6178,6525721.5574269
106,2019-06-04,28.1761,28.5565,27.6523,28.5181,5205144.9303741
107,2019-06-05,28.5712,28.7,26.5771,26.9456,7573987.5638554
108,2019-06-06,27.1678,27.2071,25.7682,26.3166,7836684.9110914
109,2019-06-07,26.4012,27.267,26.2086,26.8464,4634252.0211652
110,2019-06-10,27.099,27.4537,26.7137,26.7973,3751560.6074488
111,2019-06-11,26.9309,27.1383,26.4955,26.867,3593879.7250401
112,2019-06-12,26.8021,27.1501,26.1791,26.2184,2590656.096507
113,2019-06-13,26.1987,26.7088,25.9668,26.6135,4180462.3755327
114,2019-06-14,26.1791,26.4552,25.096,25.3731,3725993.0446097
115,2019-06-17,25.4576,25.5462,25.0026,25.0321,3381674.4479381
116,2019-06-18,25.3142,26.0307,25.1707,25.4665,4603947.0111526
117,2019-06-19,25.7141,26.4749,25.4861,26.412,4272997.2543464
118,2019-06-20,27.1924,28.3098,26.3619,26.9005,5063717.4803432
119,2019-06-21,26.7324,26.9997,26.4503,26.6931,5099104.8676394
120,2019-06-24,26.6931,26.8444,26.2331,26.352,3675239.4787879
121,2019-06-25,26.352,26.6341,25.8085,25.8626,4647342.0679626
122,2019-06-26,26.184,26.5751,26.0946,26.3166,1953495.9064729
123,2019-06-27,25.9313,26.1348,25.0026,25.8135,9809362.5946513
124,2019-06-28,26.0355,26.0847,25.0419,25.1156,14243072.860396
125,2019-07-01,25.8135,25.8281,25.3328,25.4911,7159011.2042806
126,2019-07-02,25.324,25.8036,25.0174,25.7977,5099534.2496642
127,2019-07-03,25.6444,26.184,25.328,26.1643,5269624.4760869
128,2019-07-05,25.7732,26.0307,25.6031,25.892,4234783.2716362
129,2019-07-08,25.6101,25.7486,25.2051,25.3584,6068201.7826409
130,2019-07-09,25.1943,25.3781,25.0321,25.2641,5432250.3742309
131,2019-07-10,25.4763,26.2036,25.2847,25.8528,9320828.6172667
132,2019-07-11,25.838,26.4414,25.7908,26.4414,6044261.1910284
133,2019-07-12,26.6233,26.8621,26.3166,26.5889,7398458.8376168
134,2019-07-15,26.6979,27.3309,26.6734,27.3004,8151801.4601079
135,2019-07-16,27.4489,28.1761,27.2572,27.6926,7297670.0559954
136,2019-07-17,27.6877,27.9442,27.3732,27.9344,3643742.9845312
137,2019-07-18,27.8056,28.5692,27.5687,28.3746,4472728.0678857
138,2019-07-19,28.6509,29.2532,27.9845,28.0827,6057270.8558828
139,2019-07-22,28.2115,28.3698,27.8793,27.8941,3352014.5284556
140,2019-07-23,28.0326,28.0326,27.0115,27.4204,4653519.26766
141,2019-07-24,27.2768,27.8498,27.2768,27.7957,2932807.433196
142,2019-07-25,27.8459,28.0129,27.0784,27.2267,3786789.2658449
143,2019-07-26,27.2572,27.4341,27.0892,27.3309,3350918.6885487
144,2019-07-29,27.5972,27.8056,26.9201,27.6719,3929346.1330498
145,2019-07-30,27.554,28.3746,27.4292,28.295,4133656.6823554
146,2019-07-31,28.3196,28.6715,27.9688,28.5477,5524904.2997198
147,2019-08-01,28.6459,29.2444,28.3285,28.5231,5095527.3624284
148,2019-08-02,27.1186,27.439,25.438,25.9117,21292458.356788
149,2019-08-05,25.2198,25.2591,23.8705,24.9279,11474076.704631
150,2019-08-06,25.1707,25.4714,24.4483,25.1009,7426573.1853089
151,2019-08-07,24.6557,25.0076,24.3588,24.9082,3745430.2124271
152,2019-08-08,25.0272,25.7299,25.0272,25.3781,4903867.3029658
153,2019-08-09,25.3584,25.3584,24.6223,24.9329,2585395.6579574
154,2019-08-12,24.7451,24.8395,24.3157,24.4542,2712358.4282158
155,2019-08-13,24.349,25.1707,24.0877,24.4827,7249310.651084
156,2019-08-14,24.0719,24.2203,23.2179,24.0286,8326883.5069416
