,Date,Open,High,Low,Close,Volume
0,2004-08-19,2.49097,2.59211,2.39033,2.49944,897317115
1,2004-08-20,2.51614,2.71715,2.50342,2.69798,458801193
2,2004-08-23,2.75876,2.82675,2.7164,2.72512,366812930
3,2004-08-24,2.77095,2.77992,2.57989,2.61228,306358569
4,2004-08-25,2.61452,2.69025,2.58761,2.64042,184622859
5,2004-08-26,2.61427,2.68901,2.60705,2.68801,142554909
6,2004-08-27,2.69273,2.7057,2.6327,2.64417,124810817
7,2004-08-30,2.62249,2.62773,2.54104,2.54104,104417155
8,2004-08-31,2.54826,2.58339,2.54477,2.55001,98812912
9,2004-09-01,2.55823,2.56495,2.48274,2.4972,183611205
10,2004-09-02,2.4708,2.55001,2.46457,2.52858,303773231
11,2004-09-03,2.51464,2.53431,2.47402,2.49121,103525936
12,2004-09-07,2.51614,2.54079,2.48126,2.53033,117492383
13,2004-09-08,2.5094,2.56645,2.50342,2.54826,100173828
14,2004-09-09,2.55399,2.55848,2.51589,2.54851,81610778
15,2004-09-10,2.53083,2.65438,2.52336,2.62373,174783318
16,2004-09-13,2.65612,2.70046,2.65189,2.67779,157609285
17,2004-09-14,2.67654,2.78988,2.66011,2.77718,217581907
18,2004-09-15,2.75401,2.84544,2.74504,2.78988,215253497
19,2004-09-16,2.79835,2.88454,2.78117,2.83896,186184499
20,2004-09-17,2.85016,2.92664,2.8285,2.92664,190327464
21,2004-09-20,2.91319,3.02902,2.90871,2.97322,213559378
22,2004-09-21,2.98444,2.99963,2.92714,2.93536,145244624
23,2004-09-22,2.9244,2.98094,2.9097,2.94881,152326203
24,2004-09-23,2.96027,3.05468,2.91494,3.00959,171503471
25,2004-09-24,3.01258,3.09129,2.98319,2.98493,183314131
26,2004-09-27,2.9782,3.01109,2.93436,2.94582,141976821
27,2004-09-28,3.02155,3.17349,2.99439,3.16004,340148619
28,2004-09-29,3.15606,3.36331,3.14435,3.26516,613154719
29,2004-09-30,3.23577,3.29555,3.21335,3.2283,276434483
30,2004-10-01,3.25819,3.34388,3.21086,3.30253,303897680
31,2004-10-04,3.36903,3.40939,3.33864,3.3643,261661121
32,2004-10-05,3.35434,3.45075,3.29405,3.44675,300850674
33,2004-10-06,3.42633,3.44875,3.38772,3.41462,268867150
34,2004-10-07,3.41064,3.48437,3.40142,3.45872,283608395
35,2004-10-08,3.45547,3.47939,3.41313,3.43081,222415365
36,2004-10-11,3.41263,3.45896,3.33416,3.36928,210412009
37,2004-10-12,3.34886,3.42783,3.32296,3.42259,234390620
38,2004-10-13,3.57006,3.57579,3.48935,3.50978,397154525
39,2004-10-14,3.51251,3.54665,3.45148,3.53718,209809834
40,2004-10-15,3.61016,3.62437,3.53593,3.58974,265117606
41,2004-10-18,3.56707,3.71652,3.5175,3.71553,282026682
42,2004-10-19,3.74891,3.79624,3.67044,3.68514,363874316
43,2004-10-20,3.68738,3.7113,3.47739,3.49956,456557087
44,2004-10-21,3.59696,3.73969,3.52771,3.72102,585695536
45,2004-10-22,4.2481,4.48799,4.08719,4.29518,1481025474
46,2004-10-25,4.39406,4.8432,4.29816,4.66808,1315318941
47,2004-10-26,4.64167,4.79861,4.48374,4.52858,895518619
48,2004-10-27,4.55149,4.72089,4.52783,4.63246,536196746
49,2004-10-28,4.65014,4.8422,4.62324,4.81504,596024846
50,2004-10-29,4.95429,4.98094,4.74779,4.74879,849568648
51,2004-11-01,4.82127,4.9239,4.76448,4.88304,490768659
52,2004-11-02,4.95155,4.96301,4.81604,4.85416,455497259
53,2004-11-03,4.9366,5.02179,4.75152,4.77445,557561917
54,2004-11-04,4.69398,4.7428,4.5672,4.60083,578473450
55,2004-11-05,4.53306,4.54105,4.19853,4.21847,796199879
56,2004-11-08,4.25781,4.37015,4.2197,4.29816,449294856
57,2004-11-09,4.33678,4.36418,4.11682,4.20227,444172353
58,2004-11-10,4.25134,4.29742,4.14323,4.18135,427303423
59,2004-11-11,4.21297,4.57715,4.17412,4.55897,601592958
60,2004-11-12,4.61402,4.72786,4.41899,4.53356,672272252
61,2004-11-15,4.49496,4.69099,4.45261,4.60505,477785765
62,2004-11-16,4.42147,4.47055,4.25532,4.29792,839729107
63,2004-11-17,4.21024,4.42147,4.20975,4.29693,727945343
64,2004-11-18,4.24187,4.34475,4.12829,4.17338,667595359
65,2004-11-19,4.21222,4.23415,4.14797,4.2197,352043583
66,2004-11-22,4.0969,4.22219,4.01818,4.1126,496521439
67,2004-11-23,4.18408,4.25532,4.14747,4.17288,498331978
68,2004-11-24,4.35471,4.41425,4.29718,4.35322,613455806
69,2004-11-26,4.37912,4.48449,4.36717,4.46855,260143640
70,2004-11-29,4.49271,4.55724,4.42172,4.5099,428210700
71,2004-11-30,4.50143,4.55848,4.48997,4.53306,309116531
