Date,Open,High,Low,Close,Volume
2024-01-02,84.0,84.08,81.75,82.34,13597088
2024-01-03,81.2,82.5883,80.585,82.26,12915620
2024-01-04,83.47,84.26,82.61,82.71,19134159
2024-01-05,81.48,83.53,81.01,83.45,15483746
2024-01-08,83.89,85.51,83.83,84.95,16219817
2024-01-09,83.13,84.19,82.9,83.33,12138742
2024-01-10,82.955,83.02,81.66,82.38,10748625
2024-01-11,82.8,83.45,81.82,83.39,10579319
2024-01-12,82.75,83.045,81.71,82.39,10187534
2024-01-16,82.54,85.215,82.33,84.61,13713528
2024-01-17,83.69,83.97,82.625,83.28,10245444
2024-01-18,85.22,85.82,84.04,84.82,15077686
2024-01-19,86.06,87.785,85.62,87.51,18156761
2024-01-22,88.27,89.95,88.01,89.24,14371228
2024-01-23,89.0,89.18,86.88,87.53,16850887
2024-01-24,88.41,88.57,86.61,88.08,19752769
2024-01-25,89.15,90.0446,88.495,89.2,15892371
2024-01-26,87.24,88.5,86.29,88.05,14934528
2024-01-29,88.5,89.57,88.015,89.07,12108100
2024-01-30,88.08,88.79,85.76,86.16,12980385
2024-01-31,84.957,86.92,84.7863,85.75,11396688
2024-02-01,86.07,86.19,84.615,85.61,10459042
2024-02-02,85.07,86.61,84.941,86.48,10450043
2024-02-05,86.74,87.22,85.61,86.98,8409312
2024-02-06,86.83,87.19,83.72,84.6,12990328
2024-02-07,84.14,85.28,82.47,85.17,16374835
2024-02-08,85.51,86.0346,84.53,84.88,12524471
2024-02-09,85.06,85.62,83.96,85.56,12161514
2024-02-12,85.53,86.905,85.39,85.7,10365996
2024-02-13,82.47,83.55,80.765,81.53,21207909
2024-02-14,82.18,83.175,81.49,81.83,12870944
2024-02-15,82.24,82.71,81.51,81.63,11527608
2024-02-16,80.96,81.3405,79.25,79.5,15553079
2024-02-20,79.335,80.77,79.15,80.71,12627192
2024-02-21,80.79,81.5,79.94,81.49,9943627
2024-02-22,85.0,86.31,83.88,85.91,17510923
2024-02-23,86.55,86.8199,85.05,86.0,10232768
2024-02-26,89.68,92.35,88.9,89.46,28920115
2024-02-27,91.89,92.745,90.49,91.85,21422677
2024-02-28,90.46,90.79,89.3,89.71,14190651
2024-02-29,90.645,90.83,88.8201,90.61,17027005
2024-03-01,91.92,96.059,91.92,95.15,23446165
2024-03-04,96.93,97.38,94.6177,95.77,20913228
2024-03-05,94.25,95.365,93.275,94.47,12887534
2024-03-06,95.05,96.43,94.5577,95.56,14232423
2024-03-07,98.93,99.69,97.47,98.98,24843323
2024-03-08,99.88,101.85,97.32,97.62,22379002
2024-03-11,95.9,96.46,93.525,94.51,15673308
2024-03-12,95.33,97.5,93.64,97.42,14993731
2024-03-13,95.32,95.34,93.1,94.16,16732631
2024-03-14,93.3,93.45,90.3,91.43,16718903
2024-03-15,92.48,94.7,92.02,93.25,29579528
2024-03-18,96.82,97.08,93.69,93.78,23140267
2024-03-19,92.58,94.16,91.0,94.0,21054656
2024-03-20,94.99,96.68,93.59,96.25,39807351
2024-03-21,113.365,113.5,108.7816,109.85,89554124
2024-03-22,109.31,111.34,107.0548,110.21,37281438
2024-03-25,110.24,121.41,110.16,117.13,55766124
2024-03-26,119.0,122.4599,118.17,118.8,44295145
2024-03-27,119.3,120.112,117.08,119.25,29320731
2024-03-28,119.44,119.63,117.35,117.89,21047778
2024-04-01,119.195,127.3799,119.0,124.3,44309399
2024-04-02,122.71,123.68,120.92,122.75,25026423
2024-04-03,122.2,128.28,121.33,128.01,40130137
2024-04-04,130.18,130.5431,123.65,124.09,36009860
2024-04-05,124.4,125.69,121.2001,123.58,23326521
2024-04-08,129.055,129.7,122.61,122.95,27955768
2024-04-09,124.89,126.14,121.27,122.63,19243787
2024-04-10,120.0,124.48,119.93,122.2,22242282
2024-04-11,122.9,127.56,122.08,127.51,21745300
2024-04-12,125.25,125.99,121.83,122.52,24808212
2024-04-15,123.63,124.78,120.61,121.37,17732610
2024-04-16,119.53,122.5499,118.36,121.77,17452449
2024-04-17,122.02,124.42,116.2,116.33,25546487
2024-04-18,116.0,117.615,111.48,111.93,32146904
2024-04-19,109.66,110.88,105.72,106.71,33742169
2024-04-22,107.6,110.23,106.63,109.12,19820866
2024-04-23,109.71,112.89,108.91,112.46,17887455
2024-04-24,112.72,113.95,109.23,111.78,20505925
2024-04-25,109.3728,113.0595,108.07,111.58,18342804
2024-04-26,112.0,115.06,111.6,114.84,20630671
2024-04-29,113.81,114.75,112.11,114.36,14419102
2024-04-30,114.18,116.28,112.93,112.96,14845577
2024-05-01,110.52,113.73,108.75,109.7,16686150
2024-05-02,111.74,112.41,109.43,112.33,15439203
2024-05-03,115.03,115.48,113.45,114.7,15564363
2024-05-06,119.78,121.3699,118.02,120.13,22538716
2024-05-07,120.15,121.41,119.18,119.21,12508334
2024-05-08,118.302,120.47,118.22,119.32,10867910
2024-05-09,119.315,119.63,117.44,117.81,11524824
2024-05-10,120.04,121.85,119.18,121.24,13922427
2024-05-13,122.93,124.11,121.65,123.0,16643246
2024-05-14,122.99,125.04,121.673,124.81,13887747
2024-05-15,126.23,127.95,125.442,127.81,14265109
2024-05-16,127.93,130.13,127.05,127.89,15874694
2024-05-17,128.36,129.03,124.86,125.29,13774737
2024-05-20,127.125,131.02,126.64,129.0,19123181
2024-05-21,124.2,128.82,123.28,127.5,15717818
2024-05-22,127.79,127.87,125.24,126.28,11190126
2024-05-23,131.77,131.95,124.66,126.27,20747381
2024-05-24,127.82,130.4,126.6,129.49,14048894
2024-05-28,131.755,133.3,129.27,132.67,14142956
2024-05-29,130.0,133.1,129.9,131.58,11242475
2024-05-30,130.3,131.67,125.7,126.29,12666205
2024-05-31,126.35,127.32,121.01,125.0,24153782
2024-06-03,128.13,128.84,125.145,128.17,16134335
2024-06-04,127.35,127.86,125.42,126.64,12995515
2024-06-05,128.8,133.87,127.65,133.71,22301829
2024-06-06,133.84,134.13,129.18,130.07,15505001
2024-06-07,130.21,132.54,129.62,130.94,12139476
2024-06-10,129.71,135.665,129.71,134.82,14668151
2024-06-11,135.325,135.85,131.78,135.07,14124955
2024-06-12,138.51,141.71,136.83,140.75,16973557
2024-06-13,142.79,144.22,140.2601,143.14,16312938
2024-06-14,141.8,142.4889,139.6501,141.36,14028467
2024-06-17,145.58,148.75,142.14,147.83,23908993
2024-06-18,151.74,157.535,151.51,153.45,42192569
2024-06-20,157.01,157.41,142.91,144.19,41284979
2024-06-21,137.65,142.6,135.7,139.54,51189670
2024-06-24,142.44,142.83,137.89,139.01,32410058
2024-06-25,140.07,141.13,137.75,141.12,32370046
2024-06-26,143.04,144.07,139.54,142.36,55490293
2024-06-27,135.79,137.39,131.08,132.23,68172714
