,Date,Open,High,Low,Close,Volume
0,1999-01-22,0.0401271,0.0447103,0.0355331,0.0376018,740416863
1,1999-01-25,0.0405864,0.0419634,0.0376018,0.0414991,139413824
2,1999-01-26,0.0419634,0.0428759,0.0378386,0.0382868,93919355
3,1999-01-27,0.0385123,0.0394331,0.0362297,0.0382868,67279765
4,1999-01-28,0.0382868,0.0385123,0.0378386,0.0380583,62320835
5,1999-01-29,0.0380583,0.0382868,0.0362297,0.0362297,67135680
6,1999-02-01,0.0362297,0.037377,0.0362297,0.036919,42340959
7,1999-02-02,0.0362297,0.037377,0.0330168,0.0341571,72003214
8,1999-02-03,0.0337177,0.0353183,0.0334779,0.0348559,20961127
9,1999-02-04,0.0353183,0.0378386,0.0348559,0.0366834,50256916
10,1999-02-05,0.037377,0.0382868,0.0364567,0.0378386,37682947
11,1999-02-08,0.0380583,0.0382868,0.0364567,0.0364567,42079279
12,1999-02-09,0.037377,0.0376018,0.0346193,0.0350837,23800379
13,1999-02-10,0.0350837,0.0359942,0.0341571,0.0348559,41045539
14,1999-02-11,0.0348559,0.0392015,0.0348559,0.0378386,36452934
15,1999-02-12,0.0382868,0.0401271,0.0382868,0.0398945,30538831
16,1999-02-16,0.0405864,0.04218,0.0359942,0.0401271,58225371
17,1999-02-17,0.0392015,0.0396677,0.037377,0.0380583,18540590
18,1999-02-18,0.0392015,0.0396677,0.0376018,0.0385123,19809611
19,1999-02-19,0.0382868,0.0405864,0.0378386,0.0398945,21052724
20,1999-02-22,0.0405864,0.0410388,0.0380583,0.0401271,56511247
21,1999-02-23,0.0410388,0.0428759,0.0387442,0.0419634,38206287
22,1999-02-24,0.0481421,0.0502051,0.044251,0.0454024,167518929
23,1999-02-25,0.0472315,0.0488351,0.0433452,0.0440182,40705352
24,1999-02-26,0.0444845,0.0458586,0.0414991,0.0419634,47757932
25,1999-03-01,0.0428759,0.0440182,0.0401271,0.04218,25265792
26,1999-03-02,0.0419634,0.04218,0.0410388,0.0417307,15439579
27,1999-03-03,0.0419634,0.0419634,0.0387442,0.038972,17310627
28,1999-03-04,0.0408112,0.0410388,0.0378386,0.0380583,16329315
29,1999-03-05,0.0385123,0.0403518,0.0385123,0.0401271,21772336
30,1999-03-08,0.0392015,0.0419634,0.0385123,0.0408112,21288285
31,1999-03-09,0.0408112,0.0426466,0.0408112,0.04218,39645642
32,1999-03-10,0.0426466,0.0426466,0.0408112,0.0414991,64178733
33,1999-03-11,0.0408112,0.0414991,0.0396677,0.0396677,15020865
34,1999-03-12,0.0398945,0.0398945,0.0382868,0.038972,25409737
35,1999-03-15,0.0398945,0.0410388,0.0396677,0.0405864,30159616
36,1999-03-16,0.0408112,0.0412705,0.038972,0.0392015,21942510
37,1999-03-17,0.0396677,0.0403518,0.0385123,0.0394331,14510454
38,1999-03-18,0.0396677,0.0405864,0.0387442,0.0401271,13110558
39,1999-03-19,0.0398945,0.0412705,0.0398945,0.0401271,29400494
40,1999-03-22,0.0410388,0.0410388,0.038972,0.038972,10467489
41,1999-03-23,0.0392015,0.0392015,0.0357676,0.0364567,44813824
