Date,Open,High,Low,Close,Volume
2024-01-02,104.52,104.68,102.44,104.06,9597500
2024-01-03,103.3,103.38,101.74,102.46,9455569
2024-01-04,102.77,103.36,102.4,102.59,6822299
2024-01-05,102.53,103.72,102.29,102.73,6133770
2024-01-08,102.94,104.77,102.13,104.66,7038658
2024-01-09,103.85,104.48,103.29,103.63,6725200
2024-01-10,103.09,104.07,102.72,103.92,7270545
2024-01-11,104.35,104.84,103.54,104.77,6118998
2024-01-12,105.1,106.7,104.965,106.6,9703848
2024-01-16,106.41,106.66,105.42,106.57,7547241
2024-01-17,106.46,107.5,105.68,106.43,7771460
2024-01-18,106.99,108.88,106.62,108.7,10362279
2024-01-19,109.32,110.22,109.02,109.67,11163772
2024-01-22,110.06,110.69,109.27,110.1,7485307
2024-01-23,110.29,112.68,109.56,111.83,9185921
2024-01-24,113.42,115.42,113.33,114.31,11702698
2024-01-25,114.89,116.18,114.35,115.0,8877205
2024-01-26,114.64,115.48,114.2746,114.64,5541900
2024-01-29,114.19,114.59,113.01,113.75,7014424
2024-01-30,113.36,114.4,112.63,114.16,8231882
2024-01-31,113.81,114.27,111.67,111.7,7386705
2024-02-01,112.91,115.78,112.55,115.53,7882168
2024-02-02,115.82,116.49,115.1575,115.79,6499594
2024-02-05,115.53,116.715,114.77,116.39,8084508
2024-02-06,116.74,116.95,114.98,115.3,4639268
2024-02-07,115.8,117.59,115.3,117.27,7672882
2024-02-08,117.09,117.7872,115.97,116.68,4472770
2024-02-09,117.06,117.34,115.73,116.64,5787142
2024-02-12,116.26,117.1,115.38,115.84,5439629
2024-02-13,113.79,114.21,113.0,113.68,8171722
2024-02-14,114.32,114.72,113.53,114.26,5946116
2024-02-15,114.25,114.31,112.57,112.78,8455623
2024-02-16,113.02,113.11,111.245,111.31,8936016
2024-02-20,110.54,110.765,107.68,108.45,10975638
2024-02-21,106.76,108.375,106.51,108.16,7867610
2024-02-22,111.49,111.885,109.66,111.01,8957789
2024-02-23,112.0,113.37,111.71,111.95,7504506
2024-02-26,112.0,112.54,110.93,110.97,6342943
2024-02-27,110.62,111.51,109.79,111.38,6593144
2024-02-28,111.26,112.02,111.1,111.68,5278179
2024-02-29,111.68,112.4423,110.635,111.68,12193860
2024-03-01,111.68,113.94,111.52,113.78,7605145
2024-03-04,113.58,114.6,113.39,114.06,6588062
2024-03-05,112.82,113.2,110.365,110.94,8241978
2024-03-06,111.5,113.05,110.67,112.27,6706372
2024-03-07,113.94,114.8,112.29,114.54,7670135
2024-03-08,114.07,114.33,111.54,112.42,8312943
2024-03-11,111.61,114.75,111.18,114.13,20438335
2024-03-12,126.26,129.37,124.6,127.54,48536077
2024-03-13,128.0,128.8,124.83,125.52,15870346
2024-03-14,127.23,127.8,124.94,125.53,10965902
2024-03-15,124.04,126.01,123.5586,125.54,17844884
2024-03-18,127.2,128.95,126.88,127.8,12231423
2024-03-19,127.745,129.21,126.49,129.19,10220950
2024-03-20,129.98,130.69,128.27,129.24,8373330
2024-03-21,130.52,132.7737,128.95,129.01,17842357
2024-03-22,129.01,129.205,127.55,127.79,6659950
2024-03-25,127.67,127.67,126.05,126.08,7446068
2024-03-26,126.75,126.935,125.84,126.47,7063930
2024-03-27,127.33,127.82,124.47,125.27,8115884
2024-03-28,125.39,126.17,125.2,125.61,6587431
2024-04-01,125.54,126.272,124.56,125.48,4133571
