,Date,Open,High,Low,Close,Volume
0,2020-11-27,9.8,9.82,9.8,9.82,4516
1,2020-11-30,9.82,10.8,9.72,9.95,53257
2,2020-12-01,9.8734,9.97,9.8734,9.97,2049
3,2020-12-02,10.11,10.11,9.97,10.05,78540
4,2020-12-03,10.05,10.05,10.05,10.05,1160
5,2020-12-04,10.04,10.1846,9.99,10.06,84105
6,2020-12-07,10.1,10.25,10.05,10.2,187661
7,2020-12-08,10.12,10.2,9.9,10.19,14329
8,2020-12-09,10.21,11.39,10.2,10.3,213447
9,2020-12-10,10.18,10.25,10.16,10.25,268544
10,2020-12-11,10.35,11.04,10.13,10.35,269432
11,2020-12-14,10.49,11.04,10.14,10.3,62784
12,2020-12-15,10.2237,10.46,10.0,10.3412,101231
13,2020-12-16,10.5,10.5665,10.25,10.44,4388
14,2020-12-17,10.275,10.5,10.2,10.3,8234
15,2020-12-18,10.2,10.34,10.15,10.34,27953
16,2020-12-21,10.2,10.33,10.2,10.23,411006
17,2020-12-22,10.25,10.28,10.15,10.24,41925
18,2020-12-23,10.1,10.33,10.1,10.25,69484
19,2020-12-24,10.3485,10.4999,10.2896,10.3,3141
20,2020-12-28,10.41,10.4516,10.32,10.32,280215
21,2020-12-29,10.38,10.605,9.97,10.29,96064
22,2020-12-30,10.44,10.69,10.29,10.42,356187
23,2020-12-31,10.68,10.68,10.11,10.11,131071
24,2021-01-04,10.3,10.65,10.22,10.3,57588
25,2021-01-05,10.44,10.6,10.3525,10.3525,16221
26,2021-01-06,10.45,10.45,10.22,10.38,6245
27,2021-01-07,10.42,10.42,10.3769,10.41,629
28,2021-01-08,10.3477,10.42,10.3,10.42,4145
29,2021-01-11,10.45,10.45,10.3,10.4,3901
30,2021-01-12,10.48,10.67,10.27,10.31,199635
31,2021-01-13,10.6,10.6,10.275,10.52,419356
32,2021-01-14,10.33,10.6,10.31,10.5,156662
33,2021-01-15,10.45,10.48,10.25,10.35,543831
34,2021-01-19,10.49,10.49,10.335,10.4,364135
35,2021-01-20,10.33,10.49,10.33,10.4248,54258
36,2021-01-21,10.49,10.59,10.34,10.42,16897
37,2021-01-22,10.51,10.68,10.46,10.5,82242
38,2021-01-25,10.59,10.72,10.43,10.46,101674
39,2021-01-26,10.47,10.57,10.35,10.45,281633
40,2021-01-27,10.3,10.38,10.2,10.3,336921
41,2021-01-28,10.4,10.42,10.3,10.39,316672
42,2021-01-29,10.35,10.39,10.3,10.38,57171
43,2021-02-01,10.38,10.44,10.32,10.35,49920
44,2021-02-02,10.37,10.5,10.36,10.5,50617
45,2021-02-03,10.51,10.63,10.46,10.62,74322
46,2021-02-04,10.59,10.75,10.45,10.51,73112
47,2021-02-05,10.47,10.54,10.46,10.52,48174
48,2021-02-08,10.51,10.53,10.45,10.45,67557
49,2021-02-09,10.5,10.5,10.37,10.39,53459
50,2021-02-10,10.45,10.45,10.35,10.43,91890
51,2021-02-11,10.45,11.21,10.4,10.52,373097
52,2021-02-12,10.5,10.56,10.41,10.46,283570
53,2021-02-16,10.49,10.55,10.41,10.48,111328
54,2021-02-17,10.6,10.8,10.5,10.76,209895
55,2021-02-18,10.75,10.99,10.63,10.98,287079
56,2021-02-19,10.75,10.98,10.73,10.8,165918
57,2021-02-22,10.75,10.79,10.6,10.7,220483
58,2021-02-23,10.56,10.56,10.15,10.45,162591
59,2021-02-24,10.45,10.66,10.33,10.44,104160
60,2021-02-25,10.51,10.58,10.2,10.32,130762
61,2021-02-26,10.41,10.517,10.22,10.25,150112
62,2021-03-01,13.45,15.1499,12.71,13.95,40481651
63,2021-03-02,14.5,15.15,13.01,13.14,10932300
64,2021-03-03,13.8,14.1,12.5,12.59,5236729
65,2021-03-04,12.5,12.63,11.06,11.33,6856171
66,2021-03-05,12.2,12.55,11.3,12.5,3702612
67,2021-03-08,13.03,13.2,11.91,12.0,2489166
68,2021-03-09,12.5,12.7,12.06,12.29,1773541
69,2021-03-10,12.5498,12.96,11.8,12.41,2066280
70,2021-03-11,12.81,12.81,12.12,12.41,1985600
71,2021-03-12,12.3,12.45,12.04,12.22,1249978
72,2021-03-15,12.44,12.58,12.08,12.31,1111799
73,2021-03-16,12.35,12.4,11.55,11.87,1552729
74,2021-03-17,11.7,12.18,11.5,11.99,1239811
75,2021-03-18,11.85,12.0399,11.31,11.47,1418013
76,2021-03-19,11.5075,12.06,11.29,11.6,856603
77,2021-03-22,12.25,13.17,12.01,12.51,2589383
78,2021-03-23,12.7735,12.95,11.91,12.08,1878377
79,2021-03-24,12.35,12.39,11.3,11.35,1909899
80,2021-03-25,11.13,11.89,10.8,11.89,3111905
81,2021-03-26,12.18,12.19,11.36,11.68,1194147
82,2021-03-29,12.1,12.6,11.71,11.85,1571053
83,2021-03-30,11.71,11.79,11.35,11.4,961550
84,2021-03-31,11.47,11.87,11.44,11.84,764602
85,2021-04-01,11.95,11.9916,11.23,11.48,1146966
86,2021-04-05,11.79,11.79,10.92,11.03,1442616
87,2021-04-06,11.09,11.09,10.89,10.99,717756
88,2021-04-07,11.0,11.32,10.6,10.78,1214216
89,2021-04-08,10.79,11.13,10.68,11.11,1018945
90,2021-04-09,11.15,11.25,10.9,11.1,791023
91,2021-04-12,11.0,11.16,10.7,10.84,676500
92,2021-04-13,10.79,10.87,10.6,10.81,719203
93,2021-04-14,11.21,11.21,10.64,10.74,731490
94,2021-04-15,10.86,10.86,10.5,10.53,996613
95,2021-04-16,10.5535,11.11,10.2696,10.9,1087315
96,2021-04-19,11.06,11.06,10.4001,10.74,890242
97,2021-04-20,10.49,10.79,10.27,10.55,882015
98,2021-04-21,10.5,10.79,10.37,10.55,353632
99,2021-04-22,10.65,10.69,10.45,10.56,612908
100,2021-04-23,10.69,10.85,10.49,10.75,696518
101,2021-04-26,10.8,10.8,10.65,10.7,551848
102,2021-04-27,10.75,10.82,10.61,10.68,316132
103,2021-04-28,10.7,10.71,10.5,10.52,551503
104,2021-04-29,10.68,10.7,10.47,10.49,495623
105,2021-04-30,10.51,10.535,10.43,10.46,221928
