,Date,Open,High,Low,Close,Volume
0,2010-06-28,1.13333,1.13333,1.13333,1.13333,0
1,2010-06-29,1.26667,1.66667,1.16933,1.59267,281749140
2,2010-06-30,1.71933,2.028,1.55333,1.58867,257915910
3,2010-07-01,1.66667,1.728,1.35133,1.464,123447945
4,2010-07-02,1.53333,1.54,1.24733,1.28,77127105
5,2010-07-06,1.33333,1.33333,1.05533,1.074,103189440
6,2010-07-07,1.09333,1.10867,0.998667,1.05333,103873710
7,2010-07-08,1.076,1.168,1.038,1.164,115793085
8,2010-07-09,1.172,1.19333,1.10333,1.16,60879090
9,2010-07-12,1.19667,1.20467,1.13333,1.13667,33053550
10,2010-07-13,1.15933,1.24267,1.12667,1.20933,40200900
11,2010-07-14,1.196,1.34333,1.184,1.32267,62941650
12,2010-07-15,1.32933,1.43333,1.26667,1.326,56179455
13,2010-07-16,1.38,1.42,1.33667,1.376,39318150
14,2010-07-19,1.42467,1.48333,1.39467,1.46067,37297335
15,2010-07-20,1.45667,1.45667,1.33667,1.35333,27378465
16,2010-07-21,1.37733,1.39333,1.3,1.348,18801630
17,2010-07-22,1.36667,1.41667,1.358,1.4,14435175
18,2010-07-23,1.41267,1.43733,1.404,1.41933,9810735
19,2010-07-26,1.43333,1.43333,1.35333,1.39667,13836795
20,2010-07-27,1.394,1.412,1.35067,1.37,9295125
21,2010-07-28,1.37,1.39333,1.36733,1.38133,7007745
22,2010-07-29,1.38467,1.392,1.33333,1.35667,9238650
23,2010-07-30,1.34667,1.36267,1.30333,1.32933,6402450
24,2010-08-02,1.36667,1.398,1.35533,1.39467,10787175
25,2010-08-03,1.4,1.46333,1.388,1.46333,18465345
26,2010-08-04,1.46333,1.47867,1.39,1.41733,13811340
27,2010-08-05,1.436,1.43667,1.33667,1.36333,11945700
28,2010-08-06,1.34,1.344,1.30133,1.306,11132070
29,2010-08-09,1.32667,1.332,1.29667,1.30667,12189840
30,2010-08-10,1.31,1.31,1.25467,1.26867,19219290
31,2010-08-11,1.246,1.25867,1.19,1.19333,11964750
32,2010-08-12,1.18667,1.19333,1.15933,1.17333,10369215
33,2010-08-13,1.212,1.23,1.17733,1.22133,9517695
34,2010-08-16,1.23,1.25333,1.21733,1.252,7293165
35,2010-08-17,1.264,1.29333,1.252,1.27667,6718215
36,2010-08-18,1.306,1.306,1.24,1.25133,9019980
37,2010-08-19,1.236,1.28333,1.222,1.25267,8686230
38,2010-08-20,1.24333,1.274,1.234,1.27333,4462485
39,2010-08-23,1.27267,1.35933,1.26667,1.342,16320435
40,2010-08-24,1.28333,1.314,1.26333,1.28,10096110
41,2010-08-25,1.27733,1.332,1.23733,1.32667,7549335
42,2010-08-26,1.326,1.35133,1.30667,1.31667,6506040
43,2010-08-27,1.31667,1.32467,1.3,1.31333,5672175
44,2010-08-30,1.31333,1.346,1.30733,1.32467,10990965
45,2010-08-31,1.31067,1.31933,1.28867,1.29867,3015180
46,2010-09-01,1.308,1.37933,1.30667,1.36333,7423275
47,2010-09-02,1.358,1.416,1.354,1.404,7305900
48,2010-09-03,1.39133,1.42,1.37733,1.40333,6389340
49,2010-09-07,1.374,1.4,1.36667,1.36933,3650025
50,2010-09-08,1.37733,1.39667,1.37333,1.39333,4325730
51,2010-09-09,1.4,1.40333,1.37933,1.38067,5642955
52,2010-09-10,1.38333,1.39533,1.31733,1.34467,5785335
53,2010-09-13,1.39267,1.39333,1.36667,1.38133,5410545
54,2010-09-14,1.36933,1.44,1.36867,1.408,9819435
55,2010-09-15,1.39867,1.46667,1.386,1.46533,10268370
56,2010-09-16,1.47667,1.544,1.38933,1.396,40282200
57,2010-09-17,1.40133,1.42133,1.32,1.34867,17622900
58,2010-09-20,1.378,1.42333,1.344,1.40333,14212125
59,2010-09-21,1.39267,1.43667,1.378,1.38467,11940000
60,2010-09-22,1.39133,1.39667,1.32,1.32467,14442240
61,2010-09-23,1.326,1.34267,1.3,1.304,10021140
62,2010-09-24,1.33,1.346,1.31,1.34,8597805
63,2010-09-27,1.36,1.38733,1.33667,1.36867,6278955
64,2010-09-28,1.40267,1.43267,1.384,1.42667,18216975
65,2010-09-29,1.41267,1.46867,1.40867,1.46533,29541855
66,2010-09-30,1.46667,1.47667,1.346,1.36067,32949375
67,2010-10-01,1.37933,1.38333,1.354,1.37333,7837770
68,2010-10-04,1.362,1.41133,1.35333,1.39933,9653985
69,2010-10-05,1.41,1.41867,1.40067,1.408,4979040
70,2010-10-06,1.404,1.41733,1.35467,1.364,4700355
71,2010-10-07,1.37133,1.376,1.356,1.362,2113800
72,2010-10-08,1.362,1.386,1.35933,1.362,3993285
73,2010-10-11,1.36267,1.38,1.338,1.34933,2567910
74,2010-10-12,1.34667,1.352,1.33533,1.34933,3658680
75,2010-10-13,1.376,1.39,1.35733,1.36933,4788000
76,2010-10-14,1.4,1.402,1.36,1.38333,4419300
77,2010-10-15,1.39267,1.39333,1.35,1.36933,4245675
78,2010-10-18,1.368,1.376,1.348,1.34867,2440935
79,2010-10-19,1.34667,1.36067,1.33333,1.33667,3676905
