Date,Open,High,Low,Close,Volume
2024-01-02,60.73,60.91,57.93,58.38,41978581
2024-01-03,57.48,58.895,57.33,58.25,31800559
2024-01-04,58.25,58.985,57.73,57.8,20370664
2024-01-05,58.11,58.51,57.22,57.58,17886260
2024-01-08,58.09,59.16,57.85,59.01,21213042
2024-01-09,58.5,60.54,58.45,60.3,22319853
2024-01-10,60.28,62.61,60.28,62.41,30788925
2024-01-11,62.99,63.61,61.86,63.47,28888928
2024-01-12,63.2,64.92,63.0,63.2,26374740
2024-01-16,63.0,64.0,62.92,63.65,19511781
2024-01-17,62.95,63.42,61.68,63.12,19971592
2024-01-18,64.0,65.0,63.385,64.88,24149938
2024-01-19,64.9,65.385,64.41,65.11,20339427
2024-01-22,65.44,65.61,64.15,64.55,17851716
2024-01-23,64.5,64.81,63.69,64.32,13619608
2024-01-24,64.0,64.3975,63.22,63.76,17238147
2024-01-25,64.28,66.03,63.71,66.0,21962965
2024-01-26,65.65,66.045,65.29,65.52,13099618
2024-01-29,65.6,67.1,65.56,66.98,15902036
2024-01-30,66.9,67.69,66.22,66.84,17562145
2024-01-31,65.7,66.25,64.845,65.27,17026414
2024-02-01,66.12,66.85,65.59,66.73,12504225
2024-02-02,66.98,68.25,66.51,68.07,18671765
2024-02-05,68.24,69.99,67.855,68.99,26079529
2024-02-06,69.06,70.68,68.44,70.47,34596121
2024-02-07,67.595,71.9,67.24,70.65,43366951
2024-02-08,71.93,73.05,71.195,71.61,21618176
2024-02-09,71.43,72.04,69.69,70.91,20858737
2024-02-12,71.0,71.38,68.735,69.12,19554941
2024-02-13,67.895,69.55,66.71,68.99,22857142
2024-02-14,74.6,79.2,74.31,79.15,69846652
2024-02-15,79.0,81.865,78.28,81.39,40330151
2024-02-16,80.55,80.88,78.11,78.41,24457475
2024-02-20,78.23,78.42,75.82,76.6,23816359
2024-02-21,76.32,77.49,75.875,76.44,15102053
2024-02-22,79.59,79.72,77.51,78.03,16766442
2024-02-23,78.5,78.97,77.72,78.2,15648826
2024-02-26,78.28,78.5,77.3,78.36,16617286
2024-02-27,78.64,79.75,77.8133,78.75,13707348
2024-02-28,78.6,78.66,77.42,77.73,11853130
2024-02-29,78.35,79.68,77.93,79.5,19405546
2024-03-01,79.5,81.47,79.32,81.03,18528745
2024-03-04,81.94,82.14,80.79,81.3,15989175
2024-03-05,80.83,80.85,77.43,79.09,19761584
2024-03-06,80.17,80.99,78.53,78.64,13734710
2024-03-07,79.4,80.075,78.26,79.41,13873312
2024-03-08,79.94,81.98,78.2101,78.7,16414858
2024-03-11,78.7,78.89,76.53,77.47,13781394
2024-03-12,78.01,78.48,77.48,78.32,11303824
2024-03-13,78.0,79.6911,77.93,78.25,12065099
2024-03-14,78.34,78.48,76.9,77.65,12737226
2024-03-15,77.0,77.84,75.77,76.07,24554947
2024-03-18,77.0,77.0,73.66,75.7,18936712
2024-03-19,75.38,77.18,74.19,77.08,13035194
2024-03-20,77.09,78.95,76.75,78.64,11490382
2024-03-21,79.6,81.23,79.09,80.25,16191090
2024-03-22,79.8,80.45,79.2,80.23,8872408
2024-03-25,79.99,81.04,79.39,79.41,10254259
2024-03-26,79.8,80.18,77.78,77.91,12438286
2024-03-27,78.96,79.0,76.85,78.11,13156953
2024-03-28,77.9,78.05,76.895,76.99,13421916
2024-04-01,77.0,77.78,76.0,76.4,12201773
2024-04-02,75.66,77.33,74.97,76.98,15838768
2024-04-03,76.84,78.85,76.54,76.81,19883084
2024-04-04,77.24,77.67,74.48,74.92,17191332
2024-04-05,75.34,78.395,74.92,77.16,21572026
2024-04-08,76.7,76.86,73.95,75.03,22867563
2024-04-09,74.77,75.5,73.33,75.14,13766815
2024-04-10,74.4,75.305,73.535,74.35,12533910
2024-04-11,74.8,76.56,74.705,76.18,13653565
2024-04-12,75.05,75.82,74.49,75.28,11590774
2024-04-15,76.38,76.68,72.88,73.4,16093430
2024-04-16,73.39,74.7,72.7,74.13,14513119
2024-04-17,75.0,75.615,71.04,71.94,15363128
2024-04-18,72.26,72.855,70.64,71.3,20425974
