Date,Open,High,Low,Close,Volume
2024-01-02,39.1111,39.2547,38.295,38.431,9516073
2024-01-03,37.8492,38.4688,37.7812,38.0381,7831970
2024-01-04,38.0079,38.3781,37.7359,37.7963,6141972
2024-01-05,37.547,38.0457,37.5318,37.819,6307426
2024-01-08,37.887,38.2799,37.819,37.9248,4486557
2024-01-09,37.4215,37.7963,37.2825,37.3505,6351067
2024-01-10,37.3127,38.2875,36.9954,38.1666,5693242
2024-01-11,38.1363,38.6199,37.5394,38.2346,4106424
2024-01-12,38.4537,38.6728,37.7812,37.785,3731130
2024-01-16,38.9978,39.6854,38.4499,39.4662,10670338
2024-01-17,39.4209,39.8743,39.1035,39.5343,7153493
2024-01-18,40.033,40.509,39.8667,40.4637,7470707
2024-01-19,40.8037,41.4006,40.5392,41.3855,6348929
2024-01-22,43.6977,44.3778,42.6928,43.0706,21801020
2024-01-23,44.0756,44.6952,43.2217,43.6222,14452872
2024-01-24,44.5818,44.6272,43.6071,43.8489,12868531
2024-01-25,44.5818,45.753,44.5365,45.5868,31561658
2024-01-26,44.476,44.8841,43.2293,44.0,25999421
2024-01-29,44.8841,45.6775,44.612,45.1485,12414008
2024-01-30,45.0276,45.1485,43.6788,43.9169,12859663
2024-01-31,43.592,43.9622,43.2293,43.2595,7673088
2024-02-01,43.2519,43.5844,42.7608,43.3728,9624863
2024-02-02,43.2595,44.0151,43.0706,43.9471,7317879
2024-02-05,43.8791,44.2153,43.2856,44.1813,6402879
2024-02-06,44.6196,44.7632,44.0189,44.1662,6864766
2024-02-07,44.1813,44.3702,43.5693,43.7809,6546825
2024-02-08,43.5013,43.8111,43.0857,43.1612,9883778
2024-02-09,42.6928,43.3328,42.4887,42.9346,8626410
2024-02-12,42.7457,43.8753,42.7003,43.3124,5902208
2024-02-13,42.2545,42.2696,41.4006,41.8162,8697583
2024-02-14,42.2621,42.7381,42.2243,42.3754,5246287
2024-02-15,42.451,42.7457,42.194,42.3225,5804321
2024-02-16,42.3452,42.5416,40.7432,40.8037,7986336
2024-02-20,40.7735,40.9095,40.2672,40.9019,6804136
2024-02-21,40.713,40.8045,39.965,40.3428,5622444
2024-02-22,41.3024,42.3149,41.1286,42.0883,6750964
2024-02-23,41.9296,42.4736,41.7785,42.3603,4186767
2024-02-26,42.8741,43.5882,42.6578,43.131,8158868
2024-02-27,44.0151,44.1284,43.2897,43.4333,8343219
2024-02-28,42.9497,43.6713,42.7872,43.4182,5470777
2024-02-29,43.9093,45.073,43.5995,44.937,10190698
2024-03-01,46.0931,48.7642,45.821,48.5866,22601520
2024-03-04,49.1156,49.1458,47.7894,48.6017,8245543
2024-03-05,47.831,48.5791,46.9771,47.9746,9444102
2024-03-06,49.0627,49.8107,48.0501,48.8889,12301415
2024-03-07,48.9871,49.1609,47.9519,48.5715,9032878
2024-03-08,49.0173,49.6672,47.4607,47.6043,8638700
2024-03-11,47.0754,47.4721,46.146,46.8865,9615132
2024-03-12,47.3398,47.8726,46.6144,47.5816,7550764
2024-03-13,47.3398,47.6043,46.8638,47.2114,4573544
2024-03-14,47.098,47.1434,45.447,45.9419,4572133
2024-03-15,45.5112,45.7379,45.0352,45.1788,7621476
2024-03-18,45.3601,45.6926,44.5743,44.8161,5114895
2024-03-19,44.5138,45.5339,44.1813,45.1939,5730573
2024-03-20,45.4886,45.9571,44.8916,45.8815,5606284
2024-03-21,48.9644,49.875,48.1484,48.1635,15359693
2024-03-22,48.0652,48.6697,47.6723,48.3146,7198562
2024-03-25,47.7403,49.516,47.627,49.1005,8283324
2024-03-26,49.7201,52.3496,49.5236,51.4958,15125171
2024-03-27,52.1229,52.1532,50.1923,51.1104,8315203
2024-03-28,51.6771,52.2816,51.4202,51.5638,10501983
2024-04-01,52.0776,54.6694,52.0549,53.536,16543582
2024-04-02,52.5159,52.6821,51.186,52.0096,8796838
2024-04-03,52.0852,54.4956,51.4542,54.1178,14463671
2024-04-04,55.2663,56.566,53.143,53.3017,12834874
2024-04-05,55.2815,55.5044,53.4906,55.2437,10936330
2024-04-08,56.6718,58.1226,54.08,55.1228,9992274
2024-04-09,57.1856,57.2385,54.0495,54.8961,11019329
2024-04-10,54.0725,55.2286,53.6569,54.5938,10165547
2024-04-11,54.7676,56.056,54.3596,55.8406,7845797
2024-04-12,55.3495,55.4024,54.2009,54.4465,7052069
2024-04-15,55.1983,55.425,52.939,53.2186,7447323
2024-04-16,52.8861,53.8382,52.2816,53.6946,5912613
2024-04-17,54.5636,55.3117,52.8257,53.0221,8634509
2024-04-18,52.8635,53.4402,51.5562,51.6242,5753149
2024-04-19,50.9971,51.6922,49.5765,49.9241,9303257
2024-04-22,50.1357,51.5336,49.7503,50.6646,9042553
2024-04-23,50.7779,53.0713,50.7779,52.8332,10204331
2024-04-24,53.6871,54.5032,51.5033,52.5537,9793759
2024-04-25,50.4303,52.9692,49.2894,52.4705,11398794
2024-04-26,53.6493,54.2387,50.6155,53.9213,18354452
2024-04-29,53.7173,54.7374,52.1267,52.7879,11908871
2024-04-30,52.6594,54.5258,52.5688,53.5209,10300483
2024-05-01,53.0221,54.3974,52.0398,53.2791,11437323
2024-05-02,53.3848,53.5057,51.3144,52.6821,8437456
2024-05-03,53.6493,54.1329,52.9541,53.6115,7945215
2024-05-06,54.4049,55.7877,54.3445,54.8583,8668461
