stock,strategy,return_pct,sharpe,max_dd,trades
AAPL,Oversold_Bounce,42970.659414652204,0.6290323007417031,0.5578663956587874,2
AAPL,MACDTrend,-58.352997380773985,-0.8453452091700028,0.6087917618139419,1584
AAPL,ADXTrend,-47.534010211396044,-0.6330111040415651,0.5029717755840141,1156
AAPL,RSI_Divergence,-50.77344259643086,-0.6531184478360268,0.5182425865958612,802
AAPL,Bollinger_Mean_Reversion,-53.08087891487456,-0.8280569083633686,0.5355619533894208,576
AAPL,Three_MA_Trend,2.5823367635231986,0.021508079804862735,0.25975899429140603,326
AAPL,Dual_Moving_Average_Crossover,-18.737696391796433,-0.21629981461982112,0.2528501667938883,722
AAPL,CCI_Mean_Reversion,-58.81555056428497,-0.947314213087527,0.5915523435792279,528
AAPL,Stochastic_RSI_Oscillator,-42.474995614006396,-0.5547318422955462,0.432745118487235,410
AAPL,WilliamsR_Momentum,117.54851816704739,0.21816833896449234,0.4005615125759571,48
MSFT,Oversold_Bounce,76780.160309069,0.6324565068744502,0.7089906507005197,2
MSFT,MACDTrend,-69.24396082118993,-1.3312320161241598,0.7081954956936368,1582
MSFT,ADXTrend,-43.55447798519759,-0.6761939529314843,0.49291146310574446,1030
MSFT,RSI_Divergence,-67.10499327126757,-0.863441357938864,0.6977383428987464,796
MSFT,Bollinger_Mean_Reversion,-41.50883945087037,-0.640818296232215,0.44990664738598063,548
MSFT,Three_MA_Trend,-13.214623513260811,-0.1729399784620129,0.24965896981546576,344
MSFT,Dual_Moving_Average_Crossover,-23.8819023778807,-0.31735678259138134,0.36456015345224274,750
MSFT,CCI_Mean_Reversion,-51.33510438017059,-0.6571483355254663,0.5625543913243887,592
MSFT,Stochastic_RSI_Oscillator,-48.105706010062285,-0.5916641849218568,0.4880868272461127,374
MSFT,WilliamsR_Momentum,-100.0,-0.5650812915723216,1.0,37
GOOGL,Oversold_Bounce,1044.32391339198,0.7062777219304206,0.3762301637835983,2
GOOGL,MACDTrend,-41.75009803111311,-1.1657854628250057,0.4469603596804806,870
GOOGL,ADXTrend,-25.123513989926288,-0.7766926533362654,0.28131006031232186,562
GOOGL,RSI_Divergence,-34.212829801572035,-0.9642583679660522,0.34512179022596334,376
GOOGL,Bollinger_Mean_Reversion,-21.241650445629972,-0.5890131996512935,0.25162214220660034,302
GOOGL,Three_MA_Trend,-7.193478361598666,-0.22145523566006975,0.1337096602744292,182
GOOGL,Dual_Moving_Average_Crossover,-10.956874599968826,-0.2623381706753283,0.2533954018660091,384
GOOGL,CCI_Mean_Reversion,-24.88306899044306,-0.7191467025633499,0.29538698402452607,314
GOOGL,Stochastic_RSI_Oscillator,-18.979796265728538,-0.5137355427750391,0.23179203316901162,214
GOOGL,WilliamsR_Momentum,73.99689389545681,0.3339749913208035,0.30004528675545405,12
AMZN,Oversold_Bounce,44227.9207875375,0.5422774564629931,0.8739627843670331,2
AMZN,MACDTrend,-55.89509900924251,-0.8709698962552114,0.6062866546383511,1158
AMZN,ADXTrend,-33.49572760351232,-0.44561077610339017,0.46064885085861834,790
AMZN,RSI_Divergence,-35.7085957004702,-0.42840065297836716,0.4008489559213087,538
AMZN,Bollinger_Mean_Reversion,-31.78046978426038,-0.37541701916439707,0.3677130113750171,420
AMZN,Three_MA_Trend,4.759721598843403,0.04022422464019096,0.21652339324281936,250
AMZN,Dual_Moving_Average_Crossover,-16.106081866106106,-0.18504746467215855,0.3645244668270352,506
AMZN,CCI_Mean_Reversion,-37.08181735626387,-0.4446790884005851,0.4124153651807154,416
AMZN,Stochastic_RSI_Oscillator,-42.182894882732526,-0.2959814291222352,0.4449795832230749,304
AMZN,WilliamsR_Momentum,-100.0,-0.19591075825827023,1.0,33
NVDA,Oversold_Bounce,73952.33984743373,0.6977866813190312,0.6985827966289021,2
NVDA,MACDTrend,-52.46789623444613,-0.8332256611399027,0.5321834166213281,1080
NVDA,ADXTrend,-43.615710695438395,-0.6488836047134595,0.48711851638583903,776
NVDA,RSI_Divergence,-46.80934293537081,-0.6372132867367678,0.49588811624139323,508
NVDA,Bollinger_Mean_Reversion,-39.098322566720654,-0.5229051217574379,0.4556157266433188,416
NVDA,Three_MA_Trend,89.44712106496058,0.3642333769167972,0.1728021629908746,204
NVDA,Dual_Moving_Average_Crossover,5.348221263572879,0.047141406322469985,0.1981370645583894,486
NVDA,CCI_Mean_Reversion,-49.31019923791098,-0.7192923822882986,0.5263790861041564,402
NVDA,Stochastic_RSI_Oscillator,-44.515985080916195,-0.513944135011428,0.4981947956000594,244
NVDA,WilliamsR_Momentum,-28.330350191990565,-0.057652326031391976,0.8684365705946387,32
META,Oversold_Bounce,309.37717052000005,0.5541418591456084,0.5257707818483202,2
META,MACDTrend,-35.706228308404825,-1.2071561522799557,0.39792404537859016,560
META,ADXTrend,-17.19887725362992,-0.6527807099495568,0.18802122052728398,350
META,RSI_Divergence,-26.45346749218743,-0.9045125675987401,0.31227960532900595,278
META,Bollinger_Mean_Reversion,-14.998430827212475,-0.48865865162008676,0.22075761062685284,202
META,Three_MA_Trend,22.789504917000116,0.3376173055404172,0.12027469613720697,116
META,Dual_Moving_Average_Crossover,-0.09515504874504403,-0.0026588500191114008,0.12385060242735596,252
META,CCI_Mean_Reversion,-21.856117066537454,-0.8796297571993548,0.23552044329181443,192
META,Stochastic_RSI_Oscillator,-16.17996915999493,-0.6291985492089872,0.2010302992452619,132
META,WilliamsR_Momentum,-29.081375727189997,-0.1858173597913614,0.5624204859031355,12
TSLA,Oversold_Bounce,4544.55932580507,0.6230569820481936,0.7232609151198334,2
TSLA,MACDTrend,-13.554670935131085,-0.2863780226556828,0.22840914706317056,600
TSLA,ADXTrend,-0.10157845651240496,-0.0015363146211357529,0.1632159360064703,406
TSLA,RSI_Divergence,-31.16329712572512,-0.5835714235414526,0.34879439804422224,292
TSLA,Bollinger_Mean_Reversion,-36.67538014711746,-0.7656284731341653,0.3770783892176588,218
TSLA,Three_MA_Trend,14.04320883623825,0.1505681084829685,0.18362994017463877,144
TSLA,Dual_Moving_Average_Crossover,19.64049354290203,0.22343491376353863,0.1932740213639988,286
TSLA,CCI_Mean_Reversion,-36.38313034000553,-0.6604350248750307,0.4068218328165689,212
TSLA,Stochastic_RSI_Oscillator,-30.342782442078605,-0.4419099864450638,0.4007891408833097,176
TSLA,WilliamsR_Momentum,-100.0,-0.3397415097574329,1.0,14
NFLX,Oversold_Bounce,7499.344615915829,0.6278675065047168,0.7495617942059939,2
NFLX,MACDTrend,-50.838489657570165,-1.1400585199462911,0.5338926855933671,838
NFLX,ADXTrend,-32.28775838829257,-0.6765775453713518,0.3395412578369397,588
